Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
FÉVRIER 2016;12120;Laissac-Sévérac l'Eglise;12120;Laissac;12120;12310;LAISSAC SEVERAC L EGLISE;LAISSAC;;12120;12310;LAISSAC;;
JUILLET 2016;08490;Vouziers;08490;Vouziers;08490;08400;VOUZIERS;;;08490;08400;VOUZIERS;;
FÉVRIER 2016;11304;Quillan;11304;Quillan;11304;11500;QUILLAN;;;11304;11500;QUILLAN;;
DÉCEMBRE 2016;02439;Septvallons (Les);02439;Longueval-Barbonval;02439;02160;LES SEPTVALLONS;BARBONVAL;02045;02439;02160;LONGUEVAL BARBONVAL;BARBONVAL;02045
DÉCEMBRE 2016;02053;Vallées en Champagne;02161;Chapelle-Monthodon (La);02053;02330;VALLEES EN CHAMPAGNE;LA CHAPELLE MONTHODON;02161;02161;02330;LA CHAPELLE MONTHODON;;
OCTOBRE 2017;04033;Ubaye-Serre-Ponçon;04198;Saint-Vincent-les-Forts;04033;04340;UBAYE SERRE PONCON;ST VINCENT LES FORTS;04198;04198;04340;ST VINCENT LES FORTS;;
DÉCEMBRE 2016;02439;Septvallons (Les);02479;Merval;02439;02160;LES SEPTVALLONS;MERVAL;02479;02479;02160;MERVAL;;
DÉCEMBRE 2016;03158;Haut-Bocage;03123;Givarlais;03158;03190;HAUT BOCAGE;GIVARLAIS;03123;03123;03190;GIVARLAIS;;
DÉCEMBRE 2016;01098;Chazey-Bons;01316;Pugieu;01098;01510;CHAZEY BONS;PUGIEU;01316;01316;01510;PUGIEU;;
FÉVRIER 2016;01338;Groslée-Saint-Benoit;01338;Saint-Benoît;01338;01300;GROSLEE ST BENOIT;ST BENOIT;;01338;01300;ST BENOIT;;
