Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;27198;Mesnils-sur-Iton;27024;Roncenay-Authenay (Le);;;MESNILS SUR ITON;LE RONCENAY AUTHENAY;;;;LE RONCENAY AUTHENAY;;
DÉCEMBRE 2016;27090;Bosroumois;27090;Le Bosc-Roger-en-Roumois;;;BOSROUMOIS;LE BOSC ROGER EN ROUMOIS;;;;LE BOSC ROGER EN ROUMOIS;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27197;Dampsmesnil;;;VEXIN SUR EPTE;DAMPSMESNIL;;;;DAMPSMESNIL;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton;27198;Damville;;;MESNILS SUR ITON;DAMVILLE;;;;DAMVILLE;;
DÉCEMBRE 2016;27090;Bosroumois;27093;Bosnormand;;;BOSROUMOIS;BOSNORMAND;;;;BOSNORMAND;;
DÉCEMBRE 2016;27157;Marbois;27145;Chanteloup;;;MARBOIS;CHANTELOUP;;;;CHANTELOUP;;
MARS 2017;38253;Deux-Alpes (Les);38534;Vénosc;;;LES DEUX ALPES;L ALPE DE VENOSC;;;;VENOSC;L ALPE DE VENOSC;
MARS 2017;38253;Deux-Alpes (Les);38534;Vénosc;;;LES DEUX ALPES;VENOSC LES DEUX ALPES;;;;VENOSC;LES DEUX ALPES;
DÉCEMBRE 2016;37232;Côteaux-sur-Loire;37227;Saint-Michel-sur-Loire;;;COTEAUX SUR LOIRE;ST MICHEL SUR LOIRE;;;;ST MICHEL SUR LOIRE;;
FÉVRIER 2016;36093;Levroux;36201;Saint-Martin-de-Lamps;;;LEVROUX;ST MARTIN DE LAMPS;;;;ST MARTIN DE LAMPS;;
DÉCEMBRE 2016;36229;Val-Fouzon;36183;Sainte-Cécile;;;VAL FOUZON;STE CECILE;;;;STE CECILE;;
DÉCEMBRE 2016;36229;Val-Fouzon;36151;Parpeçay;;;VAL FOUZON;PARPECAY;;;;PARPECAY;;
JANVIER 2016;35176;Guipry-Messac;35129;Guipry;;;GUIPRY MESSAC;GUIPRY;;;;GUIPRY;;
DÉCEMBRE 2016;86053;Champigny en Rochereau;86053;Champigny-le-Sec;;;CHAMPIGNY EN ROCHEREAU;CHAMPIGNY LE SEC;;;;CHAMPIGNY LE SEC;;
JANVIER 2016;89086;Charny Orée de Puisaye;89178;Fontenouilles;;;CHARNY OREE DE PUISAYE;FONTENOUILLES;;;;FONTENOUILLES;;
JANVIER 2016;89086;Charny Orée de Puisaye;89070;Chambeugle;;;CHARNY OREE DE PUISAYE;CHAMBEUGLE;;;;CHAMBEUGLE;;
DÉCEMBRE 2016;89003;Montholon;89473;Villiers -sur-Tholon;;;MONTHOLON;VILLIERS SUR THOLON;;;;VILLIERS SUR THOLON;;
DÉCEMBRE 2016;87097;Val d'Issoire;87026;Bussière-Boffy;;;VAL D ISSOIRE;BUSSIERE BOFFY;;;;BUSSIERE BOFFY;;
DÉCEMBRE 2016;86281;Saint Martin la Pallu;86060;Charrais;;;ST MARTIN LA PALLU;CHARRAIS;;;;CHARRAIS;;
JANVIER 2016;89086;Charny Orée de Puisaye;89138;Dicy;;;CHARNY OREE DE PUISAYE;DICY;;;;DICY;;
DÉCEMBRE 2016;86019;Beaumont Saint-Cyr;86019;Beaumont;;;BEAUMONT ST CYR;BEAUMONT;;;;BEAUMONT;;
FÉVRIER 2016;88465;Capavenir Vosges;88337;Oncourt;;;CAPAVENIR VOSGES;ONCOURT;;;;ONCOURT;;
FÉVRIER 2016;88465;Capavenir Vosges;88204;Girmont;;;CAPAVENIR VOSGES;GIRMONT;;;;GIRMONT;;
JANVIER 2016;89086;Charny Orée de Puisaye;89243;Marchais-Beton;;;CHARNY OREE DE PUISAYE;MARCHAIS BETON;;;;MARCHAIS BETON;;
DÉCEMBRE 2016;89334;Val d'Ocre (Le);89356;Saint-Martin-sur-Ocre;;;LE VAL D OCRE;ST MARTIN SUR OCRE;;;;ST MARTIN SUR OCRE;;
DÉCEMBRE 2016;89405;Hauts de Forterre (Les);89174;Fontenailles;;;LES HAUTS DE FORTERRE;FONTENAILLES;;;;FONTENAILLES;;
DÉCEMBRE 2016;89411;Vallées de la Vanne (Les);89429;Vareilles;;;LES VALLEES DE LA VANNE;VAREILLES;;;;VAREILLES;;
JANVIER 2016;89086;Charny Orée de Puisaye;89192;Grandchamp;;;CHARNY OREE DE PUISAYE;GRANDCHAMP;;;;GRANDCHAMP;;
DÉCEMBRE 2016;89411;Vallées de la Vanne (Les);89107;Chigy;;;LES VALLEES DE LA VANNE;CHIGY;;;;CHIGY;;
DÉCEMBRE 2016;89405;Hauts de Forterre (Les);89405;Taingy;;;LES HAUTS DE FORTERRE;TAINGY;;;;TAINGY;;
JANVIER 2016;89196;Valravillon;89457;Villemer;;;VALRAVILLON;VILLEMER;;;;VILLEMER;;
JANVIER 2016;89196;Valravillon;89213;Laduz;;;VALRAVILLON;LADUZ;;;;LADUZ;;
FÉVRIER 2016;89441;Vermenton;89441;Vermenton;;;VERMENTON;;;;;VERMENTON;;
DÉCEMBRE 2017;95040;Avernes;95259;Gadancourt;;;AVERNES;GADANCOURT;;;;GADANCOURT;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28150;La Ferté-Villeneuil;;;CLOYES LES TROIS RIVIERES;LA FERTE VILLENEUIL;;;;LA FERTE VILLENEUIL;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28103;Cloyes-sur-le-Loir;;;CLOYES LES TROIS RIVIERES;CLOYES SUR LE LOIR;;;;CLOYES SUR LE LOIR;;
DÉCEMBRE 2016;28012;Commune nouvelle d'Arrou;28356;Saint-Pellerin;;;COMMUNE NOUVELLE D ARROU;ST PELLERIN;;;;ST PELLERIN;;
FÉVRIER 2016;27638;Thuit de l'Oison (Le);27639;Thuit-Simer (Le);;;LE THUIT DE L OISON;LE THUIT SIMER;;;;LE THUIT SIMER;;
DÉCEMBRE 2016;28012;Commune nouvelle d'Arrou;28044;Boisgasson;;;COMMUNE NOUVELLE D ARROU;BOISGASSON;;;;BOISGASSON;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28083;Charray;;;CLOYES LES TROIS RIVIERES;CHARRAY;;;;CHARRAY;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28241;Le Mée;;;CLOYES LES TROIS RIVIERES;LE MEE;;;;LE MEE;;
FÉVRIER 2016;27693;Sylvains-Lès-Moulins;27688;Villalet;;;SYLVAINS LES MOULINS;VILLALET;;;;VILLALET;;
DÉCEMBRE 2016;27676;Trois Lacs (Les);27676;Venables;;;LES TROIS LACS;VENABLES;;;;VENABLES;;
DÉCEMBRE 2017;28127;Dangeau;28066;Bullou;;;DANGEAU;BULLOU;;;;BULLOU;;
FÉVRIER 2016;35060;Chapelle-du-Lou-du-Lac (La);35158;Lou-du-Lac (Le);;;LA CHAPELLE DU LOU DU LAC;LE LOU DU LAC;;;;LE LOU DU LAC;;
FÉVRIER 2016;29266;Saint-Thegonnec Loc-Eguiner;29266;Saint-Thégonnec;;;ST THEGONNEC LOC EGUINER;ST THEGONNEC;;;;ST THEGONNEC;;
FÉVRIER 2016;28254;Mittainvilliers-Vérigny;28254;Mittainvilliers;;;MITTAINVILLIERS VERIGNY;MITTAINVILLIERS;;;;MITTAINVILLIERS;;
DÉCEMBRE 2016;35168;Val d'Anast;35168;Maure-de-Bretagne;;;VAL D ANAST;MAURE DE BRETAGNE;;;;MAURE DE BRETAGNE;;
FÉVRIER 2016;28254;Mittainvilliers-Vérigny;28402;Vérigny;;;MITTAINVILLIERS VERIGNY;VERIGNY;;;;VERIGNY;;
FÉVRIER 2016;28406;Eole-en-Beauce;28020;Baignolet;;;EOLE EN BEAUCE;BAIGNOLET;;;;BAIGNOLET;;
DÉCEMBRE 2016;29076;Milizac-Guipronvel;29149;Milizac;;;MILIZAC GUIPRONVEL;MILIZAC;;;;MILIZAC;;
DÉCEMBRE 2016;28330;Villemaury;28101;Civry;;;VILLEMAURY;CIVRY;;;;CIVRY;;
FÉVRIER 2016;28383;Theuville;28383;Theuville;;;THEUVILLE;;;;;THEUVILLE;;
FÉVRIER 2016;29003;Audierne;29003;Audierne;;;AUDIERNE;;;;;AUDIERNE;;
FÉVRIER 2016;39331;Mignovillard;39331;Mignovillard;;;MIGNOVILLARD;FROIDEFONTAINE;;;;MIGNOVILLARD;FROIDEFONTAINE;
FÉVRIER 2016;39331;Mignovillard;39331;Mignovillard;;;MIGNOVILLARD;ESSAVILLY;;;;MIGNOVILLARD;ESSAVILLY;
OCTOBRE 2017;39510;Septmoncel Les Molunes;39341;Les Molunes;;;SEPTMONCEL LES MOLUNES;LES MOLUNES;;;;LES MOLUNES;;
OCTOBRE 2017;39510;Septmoncel Les Molunes;39510;Septmoncel;;;SEPTMONCEL LES MOLUNES;SEPTMONCEL;;;;SEPTMONCEL;;
DÉCEMBRE 2016;39290;Valzin en Petite Montagne;39290;Légna;;;VALZIN EN PETITE MONTAGNE;LEGNA;;;;LEGNA;;
AVRIL 2016;39378;Trois Châteaux (Les);39023;L'Aubépin;;;LES TROIS CHATEAUX;L AUBEPIN;;;;L AUBEPIN;;
FÉVRIER 2016;39368;Hauts de Bienne;39371;Mouille (La);;;HAUTS DE BIENNE;LA MOUILLE;;;;LA MOUILLE;;
DÉCEMBRE 2016;39273;Montlainsia;39273;Lains;;;MONTLAINSIA;LAINS;;;;LAINS;;
OCTOBRE 2018;27467;Pont-Audemer;27467;Pont-Audemer;;;PONT AUDEMER;ST PAUL SUR RISLE;;;;PONT AUDEMER;ST PAUL SUR RISLE;
DÉCEMBRE 2016;27578;Sainte-Marie-d'Attez;27573;Saint-Nicolas-d'Attez;;;STE MARIE D ATTEZ;ST NICOLAS D ATTEZ;;;;ST NICOLAS D ATTEZ;;
DÉCEMBRE 2016;27554;Chapelle-Longueville (La);27554;Saint-Just;;;LA CHAPELLE LONGUEVILLE;ST JUST;;;;ST JUST;;
DÉCEMBRE 2017;27290;Goupil-Othon;27642;Le Tilleul-Othon;;;GOUPIL OTHON;LE TILLEUL OTHON;;;;LE TILLEUL OTHON;;
DÉCEMBRE 2016;27578;Sainte-Marie-d'Attez;27195;Dame-Marie;;;STE MARIE D ATTEZ;DAME MARIE;;;;DAME MARIE;;
DÉCEMBRE 2016;27425;Nassandres sur Risle;27425;Nassandres;;;NASSANDRES SUR RISLE;NASSANDRES;;;;NASSANDRES;;
DÉCEMBRE 2017;27447;Le Val-Doré;27268;Le Fresne;;;LE VAL DORE;LE FRESNE;;;;LE FRESNE;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27308;Guitry;;;VEXIN SUR EPTE;GUITRY;;;;GUITRY;;
DÉCEMBRE 2017;27447;Le Val-Doré;27447;Orvaux;;;LE VAL DORE;ORVAUX;;;;ORVAUX;;
OCTOBRE 2018;27467;Pont-Audemer;27467;Pont-Audemer;;;PONT AUDEMER;;;;;PONT AUDEMER;;
FÉVRIER 2016;39209;Val d'Epy *;39209;Val-d'Épy;;;VAL D EPY;POISOUX;;;;VAL D EPY;POISOUX;
DÉCEMBRE 2017;39209;Val-d'Épy;39209;Val d'Epy;;;VAL D EPY;SENAUD;;;;VAL D EPY;SENAUD;
DÉCEMBRE 2016;38439;Crêts en Belledonne;38439;Saint-Pierre-d'Allevard;;;CRETS EN BELLEDONNE;ST PIERRE D ALLEVARD;;;;ST PIERRE D ALLEVARD;;
DÉCEMBRE 2016;38407;Sure en Chartreuse (La);38407;Saint-Julien-de-Ratz;;;LA SURE EN CHARTREUSE;ST JULIEN DE RAZ;;;;ST JULIEN DE RAZ;;
DÉCEMBRE 2016;39021;Chailleuse (La);39544;Varessia;;;LA CHAILLEUSE;VARESSIA;;;;VARESSIA;;
DÉCEMBRE 2016;39021;Chailleuse (La);39021;Arthenas;;;LA CHAILLEUSE;ARTHENAS;;;;ARTHENAS;;
DÉCEMBRE 2016;39177;Hauteroche;39332;Mirebel;;;HAUTEROCHE;MIREBEL;;;;MIREBEL;;
JANVIER 2016;35176;Guipry-Messac;35176;Messac;;;GUIPRY MESSAC;MESSAC;;;;MESSAC;;
FÉVRIER 2016;39209;Val d'Epy *;39382;Nantey;;;VAL D EPY;NANTEY;;;;NANTEY;;
FÉVRIER 2016;39209;Val d'Epy *;39509;Senaud;;;VAL D EPY;SENAUD;;;;SENAUD;;
FÉVRIER 2016;46103;Saint-Paul - Flaugnac;46287;Saint-Paul-de-Loubressac;;;ST PAUL FLAUGNAC;ST PAUL DE LOUBRESSAC;;;;ST PAUL DE LOUBRESSAC;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48014;Bagnols-les-Bains;;;MONT LOZERE ET GOULET;BAGNOLS LES BAINS;;;;BAGNOLS LES BAINS;;
FÉVRIER 2016;27085;Flancourt-Crescy-en-Roumois;27085;Bosc-Bénard-Crescy;;;FLANCOURT CRESCY EN ROUMOIS;BOSC BENARD CRESCY;;;;BOSC BENARD CRESCY;;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27105;Bourgtheroulde-Infreville;;;GRAND BOURGTHEROULDE;BOURGTHEROULDE INFREVILLE;;;;BOURGTHEROULDE INFREVILLE;;
FÉVRIER 2016;27022;Val d'Hazey (Le);27519;Sainte-Barbe-sur-Gaillon;;;LE VAL D HAZEY;STE BARBE SUR GAILLON;;;;STE BARBE SUR GAILLON;;
MARS 2016;27049;Mesnil-en-Ouche;27513;Saint-Aubin-des-Hayes;;;MESNIL EN OUCHE;ST AUBIN DES HAYES;;;;ST AUBIN DES HAYES;;
MARS 2016;27049;Mesnil-en-Ouche;27596;Saint-Pierre-du-Mesnil;;;MESNIL EN OUCHE;ST PIERRE DU MESNIL;;;;ST PIERRE DU MESNIL;;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27637;Thuit-Hébert;;;GRAND BOURGTHEROULDE;THUIT HEBERT;;;;THUIT HEBERT;;
DÉCEMBRE 2016;27089;Thénouville *;27626;Theillement;;;THENOUVILLE;THEILLEMENT;;;;THEILLEMENT;;
FÉVRIER 2016;27112;Breteuil;27305;Guéroulde (La);;;BRETEUIL;LA GUEROULDE;;;;LA GUEROULDE;;
FÉVRIER 2016;27022;Val d'Hazey (Le);27022;Aubevoye;;;LE VAL D HAZEY;AUBEVOYE;;;;AUBEVOYE;;
DÉCEMBRE 2016;25424;Premiers Sapins (Les);25302;Hautepierre-le-Châtelet;;;LES PREMIERS SAPINS;HAUTEPIERRE LE CHATELET;;;;HAUTEPIERRE LE CHATELET;;
DÉCEMBRE 2016;24490;Saint Privat en Périgord;24490;Saint-Privat-des-Prés;;;ST PRIVAT EN PERIGORD;ST PRIVAT DES PRES;;;;ST PRIVAT DES PRES;;
OCTOBRE 2018;25368;Marchaux-Chaudefontaine;25137;Chaudefontaine;;;MARCHAUX CHAUDEFONTAINE;CHAUDEFONTAINE;;;;CHAUDEFONTAINE;;
DÉCEMBRE 2016;25222;Étalans;25610;Verrières-du-Grosbois;;;ETALANS;VERRIERES DU GROSBOIS;;;;VERRIERES DU GROSBOIS;;
FÉVRIER 2016;24376;Saint Aulaye-Puymangou;24343;Puymangou;;;ST AULAYE PUYMANGOU;PUYMANGOU;;;;PUYMANGOU;;
FÉVRIER 2016;24376;Saint Aulaye-Puymangou;24376;Saint-Aulaye;;;ST AULAYE PUYMANGOU;ST AULAYE;;;;ST AULAYE;;
FÉVRIER 2016;25529;Sancey;25529;Sancey-le-Grand;;;SANCEY;SANCEY LE GRAND;;;;SANCEY LE GRAND;;
FÉVRIER 2016;24316;Parcoul-Chenaud;24118;Chenaud;;;PARCOUL CHENAUD;CHENAUD;;;;CHENAUD;;
DÉCEMBRE 2017;25078;Bouclans;25587;Vauchamps;;;BOUCLANS;VAUCHAMPS;;;;VAUCHAMPS;;
DÉCEMBRE 2016;25460;Val (Le);25399;Montfort;;;LE VAL;MONTFORT;;;;MONTFORT;;
OCTOBRE 2018;27471;Porte-de-Seine;27651;Tournedos-sur-Seine;;;PORTE DE SEINE;TOURNEDOS SUR SEINE;;;;TOURNEDOS SUR SEINE;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton;27166;Condé-sur-Iton;;;MESNILS SUR ITON;CONDE SUR ITON;;;;CONDE SUR ITON;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27449;Panilleuse;;;VEXIN SUR EPTE;PANILLEUSE;;;;PANILLEUSE;;
DÉCEMBRE 2017;27290;Goupil-Othon;27290;Goupillières;;;GOUPIL OTHON;GOUPILLIERES;;;;GOUPILLIERES;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27160;Civières;;;VEXIN SUR EPTE;CIVIERES;;;;CIVIERES;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27262;Fourges;;;VEXIN SUR EPTE;FOURGES;;;;FOURGES;;
DÉCEMBRE 2016;27294;Val d'Orger;27294;Grainville;;;VAL D ORGER;GRAINVILLE;;;;GRAINVILLE;;
OCTOBRE 2017;27412;Terres de Bord;27648;Tostes;;;TERRES DE BORD;TOSTES;;;;TOSTES;;
FÉVRIER 2016;27693;Sylvains-Lès-Moulins;27693;Sylvains-les-Moulins;;;SYLVAINS LES MOULINS;COULONGES;;;;SYLVAINS LES MOULINS;COULONGES;
DÉCEMBRE 2016;27554;Chapelle-Longueville (La);27588;Saint-Pierre-d'Autils;;;LA CHAPELLE LONGUEVILLE;ST PIERRE D AUTILS;;;;ST PIERRE D AUTILS;;
DÉCEMBRE 2016;27679;Verneuil d'Avre et d'Iton;27679;Verneuil-sur-Avre;;;VERNEUIL D AVRE ET D ITON;VERNEUIL SUR AVRE;;;;VERNEUIL SUR AVRE;;
DÉCEMBRE 2016;29021;Plounéour-Brignogan-plages;29203;Plounéour-Trez;;;PLOUNEOUR BRIGNOGAN PLAGES;PLOUNEOUR TREZ;;;;PLOUNEOUR TREZ;;
FÉVRIER 2016;27638;Thuit de l'Oison (Le);27638;Thuit-Signol (Le);;;LE THUIT DE L OISON;LE THUIT SIGNOL;;;;LE THUIT SIGNOL;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28017;Autheuil;;;CLOYES LES TROIS RIVIERES;AUTHEUIL;;;;AUTHEUIL;;
FÉVRIER 2016;28406;Eole-en-Beauce;28179;Germignonville;;;EOLE EN BEAUCE;GERMIGNONVILLE;;;;GERMIGNONVILLE;;
OCTOBRE 2018;27471;Porte-de-Seine;27471;Porte-Joie;;;PORTE DE SEINE;PORTE JOIE;;;;PORTE JOIE;;
FÉVRIER 2016;28406;Eole-en-Beauce;28406;Viabon;;;EOLE EN BEAUCE;VIABON;;;;VIABON;;
OCTOBRE 2017;31412;Péguilhan;31307;Lunax;;;PEGUILHAN;LUNAX;;;;LUNAX;;
FÉVRIER 2016;39209;Val d'Epy *;39209;Val-d'Épy;;;VAL D EPY;EPY LANERIA;;;;VAL D EPY;EPY LANERIA;
DÉCEMBRE 2017;39209;Val-d'Épy;39209;Val d'Epy;;;VAL D EPY;POISOUX;;;;VAL D EPY;POISOUX;
FÉVRIER 2016;38022;Avenières Veyrins-Thuellin (Les);38022;Avenières (Les);;;LES AVENIERES VEYRINS THUELLIN;LES AVENIERES;;;;LES AVENIERES;;
DÉCEMBRE 2016;38439;Crêts en Belledonne;38262;Morêtel-de-Mailles;;;CRETS EN BELLEDONNE;MORETEL DE MAILLES;;;;MORETEL DE MAILLES;;
DÉCEMBRE 2016;39290;Valzin en Petite Montagne;39224;Fétigny;;;VALZIN EN PETITE MONTAGNE;FETIGNY;;;;FETIGNY;;
FÉVRIER 2016;38225;Autrans-Méaudre en Vercors;38225;Méaudre;;;AUTRANS MEAUDRE EN VERCORS;MEAUDRE;;;;MEAUDRE;;
DÉCEMBRE 2016;38297;Arandon-Passins;38014;Arandon;;;ARANDON PASSINS;ARANDON;;;;ARANDON;;
DÉCEMBRE 2016;39021;Chailleuse (La);39215;Essia;;;LA CHAILLEUSE;ESSIA;;;;ESSIA;;
FÉVRIER 2016;38359;Saint Antoine l'Abbaye;38359;Saint-Antoine-l'Abbaye;;;ST ANTOINE L ABBAYE;;;;;ST ANTOINE L ABBAYE;;
OCTOBRE 2018;39016;Arinthod;39016;Arinthod;;;ARINTHOD;;;;;ARINTHOD;;
DÉCEMBRE 2016;35191;Portes du Coglais (Les);35323;La Selle-en-Coglès;;;LES PORTES DU COGLAIS;LA SELLE EN COGLES;;;;LA SELLE EN COGLES;;
DÉCEMBRE 2016;33106;Castets et Castillon;33107;Castillon-de-Castets;;;CASTETS ET CASTILLON;CASTILLON DE CASTETS;;;;CASTILLON DE CASTETS;;
DÉCEMBRE 2016;35069;Châteaugiron;35254;Saint-Aubin-du-Pavail;;;CHATEAUGIRON;ST AUBIN DU PAVAIL;;;;ST AUBIN DU PAVAIL;;
DÉCEMBRE 2016;35257;Maen Roch;35257;Saint-Brice-en-Coglès;;;MAEN ROCH;ST BRICE EN COGLES;;;;ST BRICE EN COGLES;;
FÉVRIER 2016;33018;Val de Virvée;33018;Aubie-et-Espessas;;;VAL DE VIRVEE;AUBIE ET ESPESSAS;;;;AUBIE ET ESPESSAS;;
DÉCEMBRE 2016;35191;Portes du Coglais (Les);35191;Montours;;;LES PORTES DU COGLAIS;MONTOURS;;;;MONTOURS;;
FÉVRIER 2016;36202;Saint-Maur;36245;Villers-les-Ormes;;;ST MAUR;VILLERS LES ORMES;;;;VILLERS LES ORMES;;
DÉCEMBRE 2017;37254;Tauxigny-Saint-Bauld;37209;Saint-Bauld;;;TAUXIGNY SAINT BAULD;ST BAULD;;;;ST BAULD;;
DÉCEMBRE 2017;37254;Tauxigny-Saint-Bauld;37254;Tauxigny;;;TAUXIGNY SAINT BAULD;TAUXIGNY;;;;TAUXIGNY;;
FÉVRIER 2016;36093;Levroux;36093;Levroux;;;LEVROUX;;;;;LEVROUX;;
AVRIL 2016;39378;Trois Châteaux (Les);39378;Nanc-lès-Saint-Amour;;;LES TROIS CHATEAUX;NANC LES ST AMOUR;;;;NANC LES ST AMOUR;;
DÉCEMBRE 2016;41173;Beauce la Romaine;41173;Ouzouer-le-Marché;;;BEAUCE LA ROMAINE;OUZOUER LE MARCHE;;;;OUZOUER LE MARCHE;;
OCTOBRE 2018;39583;Vosbles-Valfin;39542;Valfin-sur-Valouse;;;VOSBLES-VALFIN;VALFIN SUR VALOUSE;;;;VALFIN SUR VALOUSE;;
DÉCEMBRE 2017;41248;Couëtron-au-Perche;41197;Saint-Agil;;;COUETRON AU PERCHE;ST AGIL;;;;ST AGIL;;
DÉCEMBRE 2017;41248;Couëtron-au-Perche;41202;Saint-Avit;;;COUETRON AU PERCHE;ST AVIT;;;;ST AVIT;;
DÉCEMBRE 2016;41055;Valloire-sur-Cisse;41240;Seillac;;;VALLOIRE SUR CISSE;SEILLAC;;;;SEILLAC;;
DÉCEMBRE 2016;44005;Chaumes-en-Retz;44040;Chéméré;;;CHAUMES EN RETZ;CHEMERE;;;;CHEMERE;;
JUILLET 2016;39577;Vincent-Froideville;39577;Vincent;;;VINCENT FROIDEVILLE;VINCENT;;;;VINCENT;;
OCTOBRE 2018;39583;Vosbles-Valfin;39583;Vosbles;;;VOSBLES-VALFIN;VOSBLES;;;;VOSBLES;;
DÉCEMBRE 2016;39537;Trenal;39537;Trenal;;;TRENAL;;;;;TRENAL;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48093;Mas-d'Orcières;;;MONT LOZERE ET GOULET;MAS D ORCIERES;;;;MAS D ORCIERES;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48047;La Chaze-de-Peyre;;;PEYRE EN AUBRAC;LA CHAZE DE PEYRE;;;;LA CHAZE DE PEYRE;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48027;Le Bleymard;;;MONT LOZERE ET GOULET;LE BLEYMARD;;;;LE BLEYMARD;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48009;Aumont-Aubrac;;;PEYRE EN AUBRAC;AUMONT AUBRAC;;;;AUMONT AUBRAC;;
DÉCEMBRE 2016;44021;Villeneuve-en-Retz;44021;Bourgneuf-en-Retz;;;VILLENEUVE EN RETZ;ST CYR EN RETZ;;;;BOURGNEUF EN RETZ;ST CYR EN RETZ;
DÉCEMBRE 2016;44213;Loireauxence;44034;Chapelle-Saint-Sauveur (La);;;LOIREAUXENCE;LA CHAPELLE ST SAUVEUR;;;;LA CHAPELLE ST SAUVEUR;;
MAI 2018;44180;Vallons-de-l'Erdre;44180;Saint-Mars-la-Jaille;;;VALLONS DE L ERDRE;ST MARS LA JAILLE;;;;ST MARS LA JAILLE;;
DÉCEMBRE 2016;44021;Villeneuve-en-Retz;44021;Bourgneuf-en-Retz;;;VILLENEUVE EN RETZ;BOURGNEUF EN RETZ;;;;BOURGNEUF EN RETZ;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45191;Malesherbes;;;LE MALESHERBOIS;MALESHERBES;;;;MALESHERBES;;
MAI 2018;44180;Vallons-de-l'Erdre;44017;Bonnoeuvre;;;VALLONS DE L ERDRE;BONNOEUVRE;;;;BONNOEUVRE;;
DÉCEMBRE 2016;44213;Loireauxence;44147;Rouxière (La);;;LOIREAUXENCE;LA ROUXIERE;;;;LA ROUXIERE;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45057;Labrosse;;;LE MALESHERBOIS;LABROSSE;;;;LABROSSE;;
FÉVRIER 2016;45129;Douchy-Montcorbon;45129;Douchy;;;DOUCHY MONTCORBON;DOUCHY;;;;DOUCHY;;
DÉCEMBRE 2016;44213;Loireauxence;44213;Varades;;;LOIREAUXENCE;VARADES;;;;VARADES;;
FÉVRIER 2016;46252;Pechs du Vers (Les);46275;Saint-Martin-de-Vers;;;LES PECHS DU VERS;ST MARTIN DE VERS;;;;ST MARTIN DE VERS;;
OCTOBRE 2018;46262;Lendou-en-Quercy;46274;Saint-Laurent-Lolmie;;;LENDOU EN QUERCY;ST LAURENT LOLMIE;;;;ST LAURENT LOLMIE;;
DÉCEMBRE 2016;46138;Cœur de Causse;46110;Fontanes-du-Causse;;;CŒUR DE CAUSSE;FONTANES DU CAUSSE;;;;FONTANES DU CAUSSE;;
FÉVRIER 2016;46201;Montcuq-en-Quercy-Blanc;46166;Lebreil;;;MONTCUQ EN QUERCY BLANC;LEBREIL;;;;LEBREIL;;
FÉVRIER 2016;46252;Pechs du Vers (Les);46252;Saint-Cernin;;;LES PECHS DU VERS;ST CERNIN;;;;ST CERNIN;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45221;Nangeville;;;LE MALESHERBOIS;NANGEVILLE;;;;NANGEVILLE;;
FÉVRIER 2016;46311;Sousceyrac-en-Quercy;46048;Calviac;;;SOUSCEYRAC EN QUERCY;CALVIAC;;;;CALVIAC;;
DÉCEMBRE 2016;46138;Cœur de Causse;46019;Beaumat;;;CŒUR DE CAUSSE;BEAUMAT;;;;BEAUMAT;;
DÉCEMBRE 2016;46138;Cœur de Causse;46325;Vaillac;;;CŒUR DE CAUSSE;VAILLAC;;;;VAILLAC;;
DÉCEMBRE 2016;46156;Bellefont-La Rauze;46077;Cours;;;BELLEFONT LA RAUZE;COURS;;;;COURS;;
