ID_SITE;NB_CLI_AB_NA;MNT_PTF_AB_NA;COD_DGR;LIB_DGR;COD_DR;LIB_DR
exp-amberieu-en-bugey;369;499248;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-montluel;150;217793;4;D.G.R./CENTRE EST;44;D.R./LYON;
exp-saint-chely-d-apcher;235;471662;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-vienne;514;1010616;4;D.G.R./CENTRE EST;45;D.R./VIENNE;
exp-tonnerre;128;221580;3;D.G.R./EST;34;D.R./AUXERRE;
exp-laon;596;1138690;2;D.G.R./NORD;21;D.R./AMIENS;
exp-troyes;103;131337;3;D.G.R./EST;34;D.R./AUXERRE;
exp-rubelles;470;770054;2;D.G.R./NORD;26;D.R./PARIS;
exp-dammartin-en-goele;76;365742;2;D.G.R./NORD;26;D.R./PARIS;
exp-poitiers;952;1425626;1;D.G.R./OUEST;13;D.R./POITIERS;
exp-mende;395;574445;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-decize;103;81186;3;D.G.R./EST;34;D.R./AUXERRE;
exp-paray-le-monial;134;117792;3;D.G.R./EST;31;D.R./DIJON;
exp-oraison;240;388391;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-gap;675;573760;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-pertuis;427;518730;5;D.G.R./SUD EST;53;D.R./MARSEILLE;
exp-cavaillon;392;576728;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-chateaurenard;165;201341;5;D.G.R./SUD EST;55;D.R./ARLES;
exp-hyeres;574;968995;5;D.G.R./SUD EST;51;D.R./NICE;
exp-bruay-la-buissiere;88;99655;8;D.G.R./NORD EUROPE;81;D.R./LILLE;
exp-haguenau;159;104140;3;D.G.R./EST;32;D.R./NANCY;
exp-bastia;200;361924;5;D.G.R./SUD EST;51;D.R./NICE;
exp-sarlat-la-caneda;186;103892;6;D.G.R./SUD OUEST;62;D.R./BORDEAUX;
exp-beziers;265;230637;5;D.G.R./SUD EST;54;D.R./MONTPELLIER;
exp-pamiers;94;107227;6;D.G.R./SUD OUEST;64;D.R./TOULOUSE;
exp-saint-dizier;128;87290;3;D.G.R./EST;32;D.R./NANCY;
exp-cholet;666;666287;1;D.G.R./OUEST;11;D.R./ANGERS;
exp-versailles;174;443659;2;D.G.R./NORD;26;D.R./PARIS;
exp-biguglia;239;221762;5;D.G.R./SUD EST;51;D.R./NICE;
